Cod_IBGE;Grande região;Município;Mun_Total de casos;Mun_Total de óbitos;;;
3512506;Interior;Coroados;280;6;;;
3512605;Interior;Coronel Macedo;191;6;;;
3512704;Interior;Corumbataí;189;2;;;
3512803;Interior;Cosmópolis;3090;56;;;
3512902;Interior;Cosmorama;420;22;;;
3513009;RMSP (exceto capital);Cotia;7618;280;;;
3513108;Interior;Cravinhos;865;45;;;
3513207;Interior;Cristais Paulista;425;5;;;
3513306;Interior;Cruzália;85;3;;;
3513405;Interior;Cruzeiro;2763;50;;;
3513504;Interior;Cubatão;9749;277;;;
3513603;Interior;Cunha;518;4;;;
3513702;Interior;Descalvado;1852;27;;;
3513801;RMSP (exceto capital);Diadema;14714;564;;;
3513850;Interior;Dirce Reis;62;1;;;
3513900;Interior;Divinolândia;539;11;;;
3514007;Interior;Dobrada;287;2;;;
3514106;Interior;Dois Córregos;545;15;;;
3514205;Interior;Dolcinópolis;107;5;;;
3514304;Interior;Dourado;330;6;;;
3514403;Interior;Dracena;3158;91;;;
3514502;Interior;Duartina;493;7;;;
3514601;Interior;Dumont;777;5;;;
3514700;Interior;Echaporã;282;10;;;
3514809;Interior;Eldorado;903;11;;;
3514908;Interior;Elias Fausto;863;20;;;
3514924;Interior;Elisiário;239;4;;;
3514957;Interior;Embaúba;75;2;;;
3515004;RMSP (exceto capital);Embu das Artes;6387;254;;;
3515103;RMSP (exceto capital);Embu-Guaçu;2622;75;;;
3515129;Interior;Emilianópolis;154;3;;;
3515152;Interior;Engenheiro Coelho;1142;25;;;
3515186;Interior;Espírito Santo do Pinhal;2563;48;;;
3515194;Interior;Espírito Santo do Turvo;144;1;;;
3515202;Interior;Estrela d'Oeste;776;17;;;
3515301;Interior;Estrela do Norte;145;3;;;
3515350;Interior;Euclides da Cunha Paulista;221;6;;;
3515400;Interior;Fartura;727;8;;;
3515509;Interior;Fernandópolis;5633;103;;;
3515608;Interior;Fernando Prestes;333;4;;;
