Cod_IBGE;Grande região;Município;Mun_Total de casos;Mun_Total de óbitos;;;
3553302;Interior;Tambaú;1295;22;;;
3553401;Interior;Tanabi;2200;43;;;
3553500;Interior;Tapiraí;269;4;;;
3553609;Interior;Tapiratiba;720;8;;;
3553658;Interior;Taquaral;175;2;;;
3553708;Interior;Taquaritinga;2577;71;;;
3553807;Interior;Taquarituba;1215;16;;;
3553856;Interior;Taquarivaí;115;2;;;
3553906;Interior;Tarabai;318;7;;;
3553955;Interior;Tarumã;593;12;;;
3554003;Interior;Tatuí;4455;140;;;
3554102;Interior;Taubaté;13698;225;;;
3554201;Interior;Tejupá;65;0;;;
3554300;Interior;Teodoro Sampaio;994;12;;;
3554409;Interior;Terra Roxa;385;8;;;
3554508;Interior;Tietê;1598;32;;;
3554607;Interior;Timburi;72;2;;;
3554656;Interior;Torre de Pedra;55;3;;;
3554706;Interior;Torrinha;632;9;;;
3554755;Interior;Trabiju;54;1;;;
3554805;Interior;Tremembé;1251;5;;;
3554904;Interior;Três Fronteiras;372;18;;;
3554953;Interior;Tuiuti;102;1;;;
3555000;Interior;Tupã;2319;84;;;
3555109;Interior;Tupi Paulista;873;15;;;
3555208;Interior;Turiúba;94;2;;;
3555307;Interior;Turmalina;78;2;;;
3555356;Interior;Ubarana;428;5;;;
3555406;Interior;Ubatuba;4320;74;;;
3555505;Interior;Ubirajara;154;1;;;
3555604;Interior;Uchoa;704;14;;;
3555703;Interior;União Paulista;94;4;;;
3555802;Interior;Urânia;684;22;;;
3555901;Interior;Uru;105;3;;;
3556008;Interior;Urupês;455;15;;;
3556107;Interior;Valentim Gentil;1027;16;;;
3556206;Interior;Valinhos;6485;168;;;
3556305;Interior;Valparaíso;1131;31;;;
3556354;Interior;Vargem;124;2;;;
3556404;Interior;Vargem Grande do Sul;1487;25;;;
3556453;RMSP (exceto capital);Vargem Grande Paulista;1255;40;;;
3556503;Interior;Várzea Paulista;3249;98;;;
3556602;Interior;Vera Cruz;312;13;;;
3556701;Interior;Vinhedo;4664;64;;;
3556800;Interior;Viradouro;1054;18;;;
3556909;Interior;Vista Alegre do Alto;461;5;;;
3556958;Interior;Vitória Brasil;83;2;;;
3557006;Interior;Votorantim;4460;147;;;
3557105;Interior;Votuporanga;8302;152;;;
3557154;Interior;Zacarias;203;4;;;
3557204;Interior;Chavantes;338;11;;;
3557303;Interior;Estiva Gerbi;372;12;;;
;;Ignorado;363;0;;;
;;;;;;;
;;;;;;;
